Domain,Complaint,Severity
Operations,"Inventory Management: ""Complicated invoicing causing cash flow issues""",High
Finance,"Budgeting: ""Received return process dissuading customers from making purchases""",High
Finance,"Budgeting: ""Data breaches health insurance coverage""",High
HR,"Employee Relations: ""Supplier delays communication regarding order status updates""",Medium
Finance,"Billing: ""Slow deliveries disrupting customer schedules""",Low
HR,"Recruitment: ""Supplier delays internet connection affecting remote work""",High
Operations,"Facilities: ""Overstocked resulting in lost or damaged goods""",Medium
Operations,"Logistics: ""Maintenance issues hiring process""",Medium
HR,"Training & Development: ""Received professional growth opportunities""",Low
Finance,"Billing: ""Late computers slowing down productivity""",Low
Operations,"Supply Chain: ""Complicated causing workplace safety concerns""",Medium
Tech,"Hardware: ""Maintenance issues invoicing causing cash flow issues""",High
Finance,"Budgeting: ""Errors in professional growth opportunities""",Low
Finance,"Auditing: ""Delayed affecting production timelines""",Low
Finance,"Billing: ""Inconsistencies defective products multiple times""",High
Customer Service,"Product Quality: ""Overstocked items leading to storage issues""",Low
HR,"Recruitment: ""Late during audit processes""",Medium
Customer Service,"Communication: ""Slow defective products multiple times""",Medium
HR,"Employee Relations: ""Data breaches causing workplace safety concerns""",Medium
HR,"Training & Development: ""Slow internet connection affecting remote work""",Medium
Customer Service,"Returns: ""Poor communication regarding order status updates""",Low
Finance,"Billing: ""Overstocked items leading to storage issues""",Low
Operations,"Supply Chain: ""Delayed deliveries disrupting customer schedules""",Medium
HR,"Recruitment: ""Unreliable during audit processes""",Medium
Tech,"Software: ""Insufficient defective products multiple times""",Low
Finance,"Auditing: ""Outdated invoicing causing cash flow issues""",Low
Finance,"Billing: ""Complicated software crashes causing work disruptions""",High
Tech,"Security: ""Delayed communication regarding order status updates""",Medium
Finance,"Billing: ""Inconsistencies hiring process""",Low
Customer Service,"Product Quality: ""Inadequate affecting production timelines""",High
Operations,"Inventory Management: ""Data breaches budget allocation for crucial projects""",Medium
HR,"Training & Development: ""Received deliveries disrupting customer schedules""",Low
Operations,"Supply Chain: ""Overstocked communication regarding order status updates""",Low
HR,"Recruitment: ""Delayed hiring process""",Low
Operations,"Logistics: ""Delayed deliveries disrupting customer schedules""",Low
HR,"Recruitment: ""Outdated return process dissuading customers from making purchases""",High
HR,"Training & Development: ""Complicated communication regarding order status updates""",High
Tech,"Network: ""Frequent professional growth opportunities""",High
HR,"Training & Development: ""Maintenance issues return process dissuading customers from making purchases""",High
Tech,"Security: ""Outdated return process dissuading customers from making purchases""",High
Customer Service,"Product Quality: ""Received budget allocation for crucial projects""",High
Finance,"Accounting: ""Insufficient invoicing causing cash flow issues""",Low
Tech,"Hardware: ""Poor sensitive information""",High
Finance,"Billing: ""Supplier delays resulting in lost or damaged goods""",High
Operations,"Supply Chain: ""Unreliable health insurance coverage""",Medium
Finance,"Accounting: ""Inadequate professional growth opportunities""",Medium
Tech,"Hardware: ""Unresolved conflicts among team members""",High
Customer Service,"Product Quality: ""Insufficient professional growth opportunities""",Medium
HR,"Recruitment: ""Errors in resulting in lost or damaged goods""",Low
Tech,"Security: ""Late return process dissuading customers from making purchases""",Low
Operations,"Facilities: ""Delayed budget allocation for crucial projects""",Low
Operations,"Inventory Management: ""Insufficient communication regarding order status updates""",Medium
Tech,"Security: ""Inadequate during audit processes""",Low
Finance,"Billing: ""Errors in communication regarding order status updates""",Medium
Finance,"Billing: ""Late hiring process""",Medium
HR,"Recruitment: ""Slow budget allocation for crucial projects""",Low
Finance,"Accounting: ""Errors in invoicing causing cash flow issues""",High
HR,"Compensation & Benefits: ""Received return process dissuading customers from making purchases""",Medium
Finance,"Budgeting: ""Poor affecting production timelines""",Medium
Tech,"Security: ""Shipping errors invoicing causing cash flow issues""",Medium
Finance,"Auditing: ""Maintenance issues hiring process""",High
Tech,"Hardware: ""Poor software crashes causing work disruptions""",Low
Operations,"Logistics: ""Supplier delays sensitive information""",High
Tech,"Software: ""Slow sensitive information""",Medium
HR,"Compensation & Benefits: ""Frequent professional growth opportunities""",Medium
Customer Service,"Delivery: ""Shipping errors invoicing causing cash flow issues""",Medium
Finance,"Auditing: ""Inadequate internet connection affecting remote work""",High
Tech,"Network: ""Received defective products multiple times""",Medium
HR,"Recruitment: ""Shipping errors health insurance coverage""",Medium
Tech,"Hardware: ""Poor professional growth opportunities""",High
Tech,"Hardware: ""Unresolved financial reports leading to inaccurate decision-making""",Medium
Operations,"Supply Chain: ""Overstocked invoicing causing cash flow issues""",High
Finance,"Auditing: ""Inadequate deliveries disrupting customer schedules""",High
Tech,"Hardware: ""Delayed budget allocation for crucial projects""",Medium
HR,"Recruitment: ""Data breaches conflicts among team members""",Low
Operations,"Inventory Management: ""Received items leading to storage issues""",Medium
HR,"Recruitment: ""Slow communication regarding order status updates""",Medium
HR,"Recruitment: ""Slow affecting production timelines""",High
HR,"Recruitment: ""Errors in deliveries disrupting customer schedules""",Low
Customer Service,"Returns: ""Outdated computers slowing down productivity""",Medium
Customer Service,"Returns: ""Insufficient health insurance coverage""",Low
Finance,"Accounting: ""Complicated deliveries disrupting customer schedules""",High
Finance,"Budgeting: ""Outdated budget allocation for crucial projects""",High
HR,"Recruitment: ""Received deliveries disrupting customer schedules""",Low
Operations,"Facilities: ""Slow deliveries disrupting customer schedules""",High
Customer Service,"Returns: ""Lack of defective products multiple times""",Low
Customer Service,"Returns: ""Errors in sensitive information""",High
Operations,"Supply Chain: ""Inconsistencies return process dissuading customers from making purchases""",Medium
Tech,"Software: ""Inadequate defective products multiple times""",High
Tech,"Software: ""Complicated hiring process""",High
Tech,"Software: ""Data breaches communication regarding order status updates""",Low
Finance,"Billing: ""Unresolved invoicing causing cash flow issues""",High
Finance,"Auditing: ""Shipping errors software crashes causing work disruptions""",Low
Operations,"Facilities: ""Supplier delays items leading to storage issues""",Low
Finance,"Billing: ""Late communication regarding order status updates""",High
HR,"Recruitment: ""Data breaches health insurance coverage""",High
HR,"Recruitment: ""Delayed invoicing causing cash flow issues""",High
Finance,"Budgeting: ""Lack of financial reports leading to inaccurate decision-making""",High
Customer Service,"Communication: ""Supplier delays financial reports leading to inaccurate decision-making""",Medium
Tech,"Network: ""Unresolved resulting in lost or damaged goods""",Medium
HR,"Recruitment: ""Data breaches causing workplace safety concerns""",Medium
Finance,"Billing: ""Slow computers slowing down productivity""",Low
Customer Service,"Communication: ""Maintenance issues items leading to storage issues""",Medium
Finance,"Budgeting: ""Poor defective products multiple times""",Low
Operations,"Supply Chain: ""Unreliable internet connection affecting remote work""",Medium
HR,"Compensation & Benefits: ""Delayed conflicts among team members""",High
Finance,"Auditing: ""Lack of internet connection affecting remote work""",Medium
Tech,"Software: ""Poor hiring process""",Medium
Customer Service,"Delivery: ""Poor hiring process""",High
Operations,"Inventory Management: ""Delayed items leading to storage issues""",Low
Customer Service,"Delivery: ""Unreliable computers slowing down productivity""",Medium
Finance,"Budgeting: ""Overstocked communication regarding order status updates""",High
Customer Service,"Communication: ""Received deliveries disrupting customer schedules""",Medium
Operations,"Logistics: ""Late causing workplace safety concerns""",Low
Operations,"Logistics: ""Overstocked computers slowing down productivity""",High
Operations,"Facilities: ""Overstocked affecting production timelines""",Low
Tech,"Software: ""Outdated budget allocation for crucial projects""",Low
HR,"Employee Relations: ""Insufficient affecting production timelines""",Low
Tech,"Network: ""Late during audit processes""",Medium
Customer Service,"Product Quality: ""Delayed deliveries disrupting customer schedules""",Low
Customer Service,"Communication: ""Complicated affecting production timelines""",High
HR,"Employee Relations: ""Late health insurance coverage""",Low
HR,"Recruitment: ""Late professional growth opportunities""",Medium
Operations,"Logistics: ""Insufficient financial reports leading to inaccurate decision-making""",Low
HR,"Recruitment: ""Data breaches financial reports leading to inaccurate decision-making""",High
Tech,"Security: ""Lack of defective products multiple times""",High
Customer Service,"Delivery: ""Outdated internet connection affecting remote work""",Low
HR,"Recruitment: ""Delayed defective products multiple times""",Medium
Customer Service,"Delivery: ""Received affecting production timelines""",High
Finance,"Billing: ""Complicated return process dissuading customers from making purchases""",Medium
Customer Service,"Returns: ""Supplier delays invoicing causing cash flow issues""",Medium
HR,"Employee Relations: ""Inadequate budget allocation for crucial projects""",Medium
Operations,"Facilities: ""Received budget allocation for crucial projects""",High
Tech,"Software: ""Slow conflicts among team members""",High
Operations,"Supply Chain: ""Inconsistencies budget allocation for crucial projects""",Medium
Customer Service,"Product Quality: ""Data breaches hiring process""",Low
HR,"Training & Development: ""Overstocked hiring process""",Low
Finance,"Budgeting: ""Maintenance issues invoicing causing cash flow issues""",Medium
HR,"Training & Development: ""Late affecting production timelines""",High
Operations,"Logistics: ""Inadequate sensitive information""",Medium
Finance,"Budgeting: ""Inadequate items leading to storage issues""",Low
Finance,"Budgeting: ""Errors in internet connection affecting remote work""",Medium
Operations,"Facilities: ""Lack of internet connection affecting remote work""",Low
Customer Service,"Communication: ""Inadequate resulting in lost or damaged goods""",Medium
Customer Service,"Product Quality: ""Inconsistencies computers slowing down productivity""",High
HR,"Recruitment: ""Outdated conflicts among team members""",High
HR,"Recruitment: ""Late internet connection affecting remote work""",High
HR,"Compensation & Benefits: ""Inconsistencies affecting production timelines""",Medium
HR,"Compensation & Benefits: ""Received hiring process""",Medium
Finance,"Billing: ""Data breaches during audit processes""",Low
Tech,"Network: ""Data breaches deliveries disrupting customer schedules""",High
Tech,"Software: ""Supplier delays software crashes causing work disruptions""",Low
HR,"Compensation & Benefits: ""Late deliveries disrupting customer schedules""",Low
Operations,"Facilities: ""Unreliable professional growth opportunities""",Medium
Tech,"Software: ""Frequent invoicing causing cash flow issues""",High
HR,"Employee Relations: ""Supplier delays hiring process""",Low
HR,"Training & Development: ""Supplier delays computers slowing down productivity""",High
HR,"Employee Relations: ""Inconsistencies conflicts among team members""",Low
Operations,"Inventory Management: ""Supplier delays invoicing causing cash flow issues""",Low
HR,"Employee Relations: ""Data breaches computers slowing down productivity""",Medium
Customer Service,"Product Quality: ""Slow professional growth opportunities""",Medium
HR,"Recruitment: ""Frequent during audit processes""",High
Operations,"Supply Chain: ""Lack of defective products multiple times""",High
Customer Service,"Product Quality: ""Poor financial reports leading to inaccurate decision-making""",Low
HR,"Training & Development: ""Delayed defective products multiple times""",High
Operations,"Inventory Management: ""Inadequate during audit processes""",Low
Operations,"Inventory Management: ""Slow items leading to storage issues""",Low
Operations,"Supply Chain: ""Supplier delays financial reports leading to inaccurate decision-making""",Medium
Tech,"Hardware: ""Received financial reports leading to inaccurate decision-making""",High
HR,"Training & Development: ""Shipping errors return process dissuading customers from making purchases""",Medium
Tech,"Security: ""Delayed sensitive information""",Medium
Operations,"Logistics: ""Shipping errors invoicing causing cash flow issues""",High
Operations,"Inventory Management: ""Inconsistencies health insurance coverage""",Low
Customer Service,"Product Quality: ""Lack of financial reports leading to inaccurate decision-making""",Low
Finance,"Budgeting: ""Outdated return process dissuading customers from making purchases""",High
Customer Service,"Delivery: ""Lack of communication regarding order status updates""",Low
Customer Service,"Returns: ""Inconsistencies conflicts among team members""",High
Tech,"Hardware: ""Unresolved health insurance coverage""",High
Operations,"Supply Chain: ""Insufficient causing workplace safety concerns""",Medium
HR,"Compensation & Benefits: ""Supplier delays invoicing causing cash flow issues""",High
Tech,"Software: ""Poor defective products multiple times""",High
Finance,"Budgeting: ""Unresolved sensitive information""",High
Tech,"Hardware: ""Unresolved professional growth opportunities""",Medium
Finance,"Auditing: ""Frequent software crashes causing work disruptions""",Low
Finance,"Accounting: ""Insufficient communication regarding order status updates""",Medium
HR,"Recruitment: ""Complicated budget allocation for crucial projects""",Medium
Tech,"Security: ""Unresolved computers slowing down productivity""",High
Finance,"Billing: ""Lack of professional growth opportunities""",Medium
Operations,"Logistics: ""Outdated causing workplace safety concerns""",Low
Customer Service,"Delivery: ""Inadequate communication regarding order status updates""",Medium
Customer Service,"Product Quality: ""Slow health insurance coverage""",Medium
Customer Service,"Returns: ""Inconsistencies items leading to storage issues""",Medium
HR,"Compensation & Benefits: ""Unreliable communication regarding order status updates""",High
Operations,"Logistics: ""Complicated financial reports leading to inaccurate decision-making""",High
Tech,"Hardware: ""Received conflicts among team members""",Medium
Finance,"Accounting: ""Lack of during audit processes""",Medium
Tech,"Software: ""Unresolved resulting in lost or damaged goods""",High
Finance,"Accounting: ""Unresolved financial reports leading to inaccurate decision-making""",Medium
HR,"Employee Relations: ""Maintenance issues resulting in lost or damaged goods""",Medium
Finance,"Accounting: ""Insufficient computers slowing down productivity""",Low
Customer Service,"Communication: ""Errors in sensitive information""",Low
Customer Service,"Product Quality: ""Received computers slowing down productivity""",Low
Operations,"Logistics: ""Poor during audit processes""",Medium
HR,"Employee Relations: ""Delayed budget allocation for crucial projects""",Medium
Operations,"Facilities: ""Supplier delays conflicts among team members""",Medium
Finance,"Budgeting: ""Lack of affecting production timelines""",High
Tech,"Software: ""Delayed items leading to storage issues""",Low
Tech,"Security: ""Shipping errors software crashes causing work disruptions""",Low
Tech,"Security: ""Supplier delays software crashes causing work disruptions""",Low
Tech,"Hardware: ""Supplier delays during audit processes""",High
Tech,"Hardware: ""Supplier delays financial reports leading to inaccurate decision-making""",Low
HR,"Compensation & Benefits: ""Outdated financial reports leading to inaccurate decision-making""",High
HR,"Employee Relations: ""Frequent deliveries disrupting customer schedules""",Low
Customer Service,"Delivery: ""Slow communication regarding order status updates""",Low
Customer Service,"Product Quality: ""Delayed internet connection affecting remote work""",Medium
Customer Service,"Delivery: ""Poor affecting production timelines""",High
HR,"Training & Development: ""Inconsistencies internet connection affecting remote work""",Low
Finance,"Auditing: ""Outdated computers slowing down productivity""",Low
Tech,"Security: ""Outdated health insurance coverage""",Low
Tech,"Network: ""Insufficient deliveries disrupting customer schedules""",High
Operations,"Facilities: ""Inconsistencies computers slowing down productivity""",Medium
HR,"Training & Development: ""Maintenance issues communication regarding order status updates""",Low
Operations,"Facilities: ""Slow computers slowing down productivity""",Low
Customer Service,"Product Quality: ""Slow financial reports leading to inaccurate decision-making""",High
Tech,"Network: ""Inconsistencies causing workplace safety concerns""",Low
Customer Service,"Product Quality: ""Supplier delays internet connection affecting remote work""",High
Finance,"Billing: ""Outdated deliveries disrupting customer schedules""",Low
HR,"Compensation & Benefits: ""Maintenance issues invoicing causing cash flow issues""",Low
Tech,"Hardware: ""Frequent budget allocation for crucial projects""",High
Customer Service,"Returns: ""Late computers slowing down productivity""",High
HR,"Employee Relations: ""Outdated software crashes causing work disruptions""",Low
Operations,"Logistics: ""Errors in during audit processes""",Medium
Finance,"Billing: ""Unresolved affecting production timelines""",Medium
Tech,"Hardware: ""Late causing workplace safety concerns""",Low
Tech,"Software: ""Complicated causing workplace safety concerns""",Low
HR,"Training & Development: ""Supplier delays internet connection affecting remote work""",Medium
Tech,"Software: ""Outdated software crashes causing work disruptions""",Medium
Finance,"Billing: ""Frequent return process dissuading customers from making purchases""",Low
Tech,"Software: ""Unresolved items leading to storage issues""",High
HR,"Compensation & Benefits: ""Unresolved software crashes causing work disruptions""",Low
Finance,"Accounting: ""Data breaches professional growth opportunities""",Medium
Operations,"Supply Chain: ""Unreliable invoicing causing cash flow issues""",Low
Customer Service,"Returns: ""Errors in conflicts among team members""",High
Customer Service,"Product Quality: ""Poor items leading to storage issues""",Medium
Finance,"Budgeting: ""Slow professional growth opportunities""",Low
Operations,"Logistics: ""Slow computers slowing down productivity""",Medium
Finance,"Auditing: ""Overstocked communication regarding order status updates""",Medium
Operations,"Facilities: ""Supplier delays sensitive information""",High
Finance,"Auditing: ""Unresolved communication regarding order status updates""",Medium
Finance,"Accounting: ""Frequent resulting in lost or damaged goods""",Low
Tech,"Security: ""Lack of internet connection affecting remote work""",Medium
Finance,"Billing: ""Lack of items leading to storage issues""",High
Operations,"Inventory Management: ""Late deliveries disrupting customer schedules""",Low
Tech,"Security: ""Unresolved defective products multiple times""",Medium
HR,"Recruitment: ""Errors in budget allocation for crucial projects""",Medium
Finance,"Auditing: ""Late internet connection affecting remote work""",Medium
Operations,"Logistics: ""Frequent deliveries disrupting customer schedules""",Low
Finance,"Accounting: ""Complicated causing workplace safety concerns""",High
HR,"Recruitment: ""Shipping errors internet connection affecting remote work""",Low
Customer Service,"Product Quality: ""Supplier delays health insurance coverage""",Medium
Customer Service,"Communication: ""Received financial reports leading to inaccurate decision-making""",Medium
Operations,"Facilities: ""Insufficient professional growth opportunities""",High
Finance,"Budgeting: ""Delayed conflicts among team members""",Low
Operations,"Facilities: ""Errors in during audit processes""",High
Tech,"Network: ""Frequent internet connection affecting remote work""",Medium
Finance,"Auditing: ""Overstocked internet connection affecting remote work""",Medium
Customer Service,"Product Quality: ""Overstocked deliveries disrupting customer schedules""",Medium
Finance,"Accounting: ""Received conflicts among team members""",Low
Operations,"Logistics: ""Complicated affecting production timelines""",High
Tech,"Security: ""Insufficient return process dissuading customers from making purchases""",Medium
Operations,"Supply Chain: ""Insufficient conflicts among team members""",Low
Finance,"Budgeting: ""Lack of items leading to storage issues""",High
Finance,"Billing: ""Unreliable computers slowing down productivity""",Low
HR,"Recruitment: ""Unreliable conflicts among team members""",High
Operations,"Logistics: ""Unresolved return process dissuading customers from making purchases""",Low
Finance,"Auditing: ""Received invoicing causing cash flow issues""",Low
Finance,"Auditing: ""Poor health insurance coverage""",Medium
HR,"Training & Development: ""Complicated budget allocation for crucial projects""",High
Finance,"Auditing: ""Errors in items leading to storage issues""",Medium
Customer Service,"Product Quality: ""Delayed computers slowing down productivity""",Low
Operations,"Logistics: ""Inadequate causing workplace safety concerns""",High
Operations,"Supply Chain: ""Overstocked professional growth opportunities""",High
Finance,"Billing: ""Maintenance issues budget allocation for crucial projects""",Low
Finance,"Billing: ""Received budget allocation for crucial projects""",Low
Tech,"Security: ""Overstocked return process dissuading customers from making purchases""",Medium
Customer Service,"Returns: ""Slow sensitive information""",High
Finance,"Billing: ""Slow deliveries disrupting customer schedules""",Medium
HR,"Employee Relations: ""Frequent health insurance coverage""",Medium
Finance,"Billing: ""Late computers slowing down productivity""",Medium
Tech,"Hardware: ""Errors in software crashes causing work disruptions""",High
HR,"Recruitment: ""Inconsistencies internet connection affecting remote work""",Medium
Tech,"Network: ""Shipping errors sensitive information""",Medium
Tech,"Hardware: ""Lack of resulting in lost or damaged goods""",High
Customer Service,"Returns: ""Frequent financial reports leading to inaccurate decision-making""",High
Tech,"Security: ""Poor hiring process""",Low
Finance,"Billing: ""Late items leading to storage issues""",High
Operations,"Facilities: ""Shipping errors financial reports leading to inaccurate decision-making""",High
Operations,"Supply Chain: ""Poor affecting production timelines""",High
Finance,"Billing: ""Overstocked items leading to storage issues""",Medium
HR,"Recruitment: ""Errors in health insurance coverage""",Low
HR,"Compensation & Benefits: ""Complicated during audit processes""",Medium
Finance,"Budgeting: ""Unreliable defective products multiple times""",Low
Operations,"Supply Chain: ""Inadequate causing workplace safety concerns""",High
Customer Service,"Product Quality: ""Poor hiring process""",Low
Operations,"Inventory Management: ""Inconsistencies sensitive information""",High
Operations,"Inventory Management: ""Unreliable software crashes causing work disruptions""",Low
Operations,"Facilities: ""Delayed return process dissuading customers from making purchases""",Medium
Operations,"Supply Chain: ""Poor return process dissuading customers from making purchases""",Low
HR,"Employee Relations: ""Inconsistencies return process dissuading customers from making purchases""",Low
Customer Service,"Communication: ""Outdated professional growth opportunities""",High
HR,"Training & Development: ""Supplier delays sensitive information""",High
Operations,"Inventory Management: ""Poor budget allocation for crucial projects""",Low
Finance,"Budgeting: ""Poor invoicing causing cash flow issues""",Medium
HR,"Compensation & Benefits: ""Inadequate during audit processes""",High
Operations,"Supply Chain: ""Slow sensitive information""",Medium
Tech,"Software: ""Insufficient computers slowing down productivity""",Low
HR,"Employee Relations: ""Lack of during audit processes""",Low
Finance,"Budgeting: ""Late return process dissuading customers from making purchases""",High
HR,"Training & Development: ""Data breaches during audit processes""",Low
Operations,"Inventory Management: ""Outdated causing workplace safety concerns""",Low
HR,"Compensation & Benefits: ""Inadequate affecting production timelines""",Low
Customer Service,"Product Quality: ""Complicated financial reports leading to inaccurate decision-making""",High
HR,"Training & Development: ""Unresolved invoicing causing cash flow issues""",High
Customer Service,"Delivery: ""Delayed conflicts among team members""",High
Customer Service,"Communication: ""Delayed internet connection affecting remote work""",High
Finance,"Budgeting: ""Insufficient return process dissuading customers from making purchases""",Medium
Finance,"Budgeting: ""Delayed health insurance coverage""",High
Tech,"Software: ""Unresolved invoicing causing cash flow issues""",High
Customer Service,"Communication: ""Late internet connection affecting remote work""",Medium
Operations,"Logistics: ""Delayed resulting in lost or damaged goods""",Medium
HR,"Training & Development: ""Late professional growth opportunities""",Low
Customer Service,"Delivery: ""Supplier delays causing workplace safety concerns""",Low
Finance,"Billing: ""Late causing workplace safety concerns""",Medium
HR,"Training & Development: ""Data breaches resulting in lost or damaged goods""",Medium
Finance,"Accounting: ""Delayed internet connection affecting remote work""",Medium
Tech,"Security: ""Inadequate during audit processes""",Medium
HR,"Training & Development: ""Overstocked during audit processes""",Medium
Customer Service,"Communication: ""Supplier delays defective products multiple times""",Medium
Customer Service,"Communication: ""Unresolved items leading to storage issues""",Medium
Tech,"Network: ""Delayed affecting production timelines""",Low
HR,"Recruitment: ""Poor budget allocation for crucial projects""",Medium
HR,"Training & Development: ""Insufficient professional growth opportunities""",High
Tech,"Security: ""Lack of causing workplace safety concerns""",High
HR,"Employee Relations: ""Maintenance issues software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Late health insurance coverage""",High
Operations,"Facilities: ""Outdated computers slowing down productivity""",Low
Finance,"Budgeting: ""Delayed sensitive information""",Low
HR,"Training & Development: ""Maintenance issues defective products multiple times""",Low
Operations,"Supply Chain: ""Frequent invoicing causing cash flow issues""",Medium
HR,"Training & Development: ""Overstocked deliveries disrupting customer schedules""",High
HR,"Recruitment: ""Insufficient items leading to storage issues""",High
Customer Service,"Communication: ""Received resulting in lost or damaged goods""",Low
HR,"Employee Relations: ""Delayed sensitive information""",High
Finance,"Billing: ""Inadequate financial reports leading to inaccurate decision-making""",Low
HR,"Training & Development: ""Errors in defective products multiple times""",Medium
Operations,"Inventory Management: ""Outdated financial reports leading to inaccurate decision-making""",Low
Customer Service,"Product Quality: ""Late causing workplace safety concerns""",Medium
Operations,"Logistics: ""Data breaches budget allocation for crucial projects""",High
Finance,"Auditing: ""Outdated during audit processes""",Low
Operations,"Facilities: ""Lack of sensitive information""",Medium
Finance,"Accounting: ""Unreliable causing workplace safety concerns""",High
Customer Service,"Communication: ""Errors in items leading to storage issues""",Low
HR,"Recruitment: ""Received invoicing causing cash flow issues""",Low
Operations,"Logistics: ""Complicated communication regarding order status updates""",High
Customer Service,"Returns: ""Frequent software crashes causing work disruptions""",High
Finance,"Accounting: ""Maintenance issues conflicts among team members""",High
Operations,"Logistics: ""Complicated internet connection affecting remote work""",High
Finance,"Billing: ""Shipping errors defective products multiple times""",High
Operations,"Logistics: ""Overstocked affecting production timelines""",Medium
Operations,"Logistics: ""Frequent during audit processes""",High
HR,"Compensation & Benefits: ""Unresolved professional growth opportunities""",Low
Customer Service,"Communication: ""Late conflicts among team members""",Low
Tech,"Hardware: ""Unreliable resulting in lost or damaged goods""",Low
HR,"Compensation & Benefits: ""Inadequate causing workplace safety concerns""",High
Operations,"Logistics: ""Inadequate budget allocation for crucial projects""",High
Operations,"Logistics: ""Insufficient deliveries disrupting customer schedules""",Low
HR,"Employee Relations: ""Received causing workplace safety concerns""",High
Tech,"Software: ""Data breaches communication regarding order status updates""",Medium
Operations,"Facilities: ""Delayed items leading to storage issues""",Low
Tech,"Network: ""Lack of internet connection affecting remote work""",High
HR,"Recruitment: ""Lack of software crashes causing work disruptions""",High
Tech,"Security: ""Overstocked hiring process""",High
HR,"Recruitment: ""Shipping errors deliveries disrupting customer schedules""",Low
HR,"Employee Relations: ""Errors in deliveries disrupting customer schedules""",Medium
HR,"Compensation & Benefits: ""Insufficient software crashes causing work disruptions""",High
Customer Service,"Returns: ""Insufficient affecting production timelines""",High
Tech,"Hardware: ""Overstocked conflicts among team members""",Low
Operations,"Logistics: ""Poor financial reports leading to inaccurate decision-making""",High
Tech,"Software: ""Delayed deliveries disrupting customer schedules""",High
Tech,"Hardware: ""Late health insurance coverage""",Low
Finance,"Auditing: ""Received internet connection affecting remote work""",Medium
HR,"Training & Development: ""Overstocked communication regarding order status updates""",High
Customer Service,"Communication: ""Unreliable invoicing causing cash flow issues""",Medium
Tech,"Security: ""Inconsistencies items leading to storage issues""",High
Tech,"Software: ""Inadequate resulting in lost or damaged goods""",Medium
Operations,"Supply Chain: ""Delayed hiring process""",Low
Operations,"Supply Chain: ""Lack of hiring process""",High
Tech,"Software: ""Received hiring process""",High
Customer Service,"Communication: ""Unresolved defective products multiple times""",Low
Finance,"Budgeting: ""Poor defective products multiple times""",Medium
HR,"Employee Relations: ""Received internet connection affecting remote work""",Low
Tech,"Network: ""Data breaches internet connection affecting remote work""",Medium
HR,"Training & Development: ""Lack of deliveries disrupting customer schedules""",Medium
HR,"Recruitment: ""Maintenance issues deliveries disrupting customer schedules""",Low
Tech,"Software: ""Supplier delays defective products multiple times""",High
Operations,"Inventory Management: ""Delayed items leading to storage issues""",Medium
HR,"Recruitment: ""Maintenance issues during audit processes""",Medium
Finance,"Auditing: ""Maintenance issues resulting in lost or damaged goods""",High
Tech,"Security: ""Insufficient health insurance coverage""",High
Tech,"Network: ""Data breaches invoicing causing cash flow issues""",Medium
Finance,"Budgeting: ""Delayed hiring process""",Medium
Customer Service,"Returns: ""Inadequate budget allocation for crucial projects""",High
HR,"Compensation & Benefits: ""Late sensitive information""",Medium
Operations,"Inventory Management: ""Inadequate conflicts among team members""",Medium
Finance,"Budgeting: ""Lack of invoicing causing cash flow issues""",Low
Customer Service,"Delivery: ""Frequent during audit processes""",Medium
HR,"Recruitment: ""Outdated during audit processes""",High
Tech,"Software: ""Unreliable internet connection affecting remote work""",High
HR,"Training & Development: ""Outdated sensitive information""",High
HR,"Recruitment: ""Unresolved during audit processes""",Low
Finance,"Accounting: ""Received internet connection affecting remote work""",High
Customer Service,"Returns: ""Insufficient software crashes causing work disruptions""",Low
HR,"Employee Relations: ""Inadequate internet connection affecting remote work""",Low
Operations,"Logistics: ""Unresolved invoicing causing cash flow issues""",High
HR,"Recruitment: ""Supplier delays invoicing causing cash flow issues""",High
Tech,"Security: ""Lack of hiring process""",Low
Operations,"Logistics: ""Supplier delays health insurance coverage""",Low
Operations,"Logistics: ""Unresolved hiring process""",High
Customer Service,"Returns: ""Complicated internet connection affecting remote work""",Medium
Tech,"Hardware: ""Lack of communication regarding order status updates""",Low
Finance,"Budgeting: ""Overstocked deliveries disrupting customer schedules""",Low
Finance,"Auditing: ""Overstocked during audit processes""",Medium
HR,"Compensation & Benefits: ""Late computers slowing down productivity""",Medium
Finance,"Auditing: ""Overstocked conflicts among team members""",High
HR,"Training & Development: ""Errors in causing workplace safety concerns""",Low
Finance,"Billing: ""Lack of budget allocation for crucial projects""",Low
Tech,"Network: ""Delayed return process dissuading customers from making purchases""",Medium
Tech,"Security: ""Data breaches invoicing causing cash flow issues""",High
HR,"Training & Development: ""Frequent conflicts among team members""",Low
Customer Service,"Communication: ""Shipping errors return process dissuading customers from making purchases""",High
Tech,"Software: ""Slow budget allocation for crucial projects""",High
Tech,"Network: ""Supplier delays sensitive information""",Low
Customer Service,"Returns: ""Inadequate software crashes causing work disruptions""",High
HR,"Recruitment: ""Errors in software crashes causing work disruptions""",Medium
Finance,"Accounting: ""Frequent items leading to storage issues""",Medium
Customer Service,"Delivery: ""Lack of resulting in lost or damaged goods""",Low
Tech,"Hardware: ""Errors in items leading to storage issues""",Low
HR,"Recruitment: ""Outdated communication regarding order status updates""",High
Finance,"Accounting: ""Complicated hiring process""",Low
Finance,"Billing: ""Errors in sensitive information""",Low
HR,"Recruitment: ""Overstocked affecting production timelines""",High
